time,cpu,mem,diskRand,diskSeq,fork,uplink
1670432048,1337.04,11772.86,140.69,384.74,4948.51766666666666666666,39814
1670432411,1316.27,11672.08,146.36,391.69,4971.18700000000000000000,39732
1670432774,1283.26,11590.52,151.76,386.02,4923.29500000000000000000,40649
1670433137,1295.08,12052.73,173.24,391.45,4789.60965517241379310344,39488
1670433500,1304.96,11757.01,133.99,381.09,4803.59103448275862068965,40339
1670433863,1330.64,11912.89,131.24,367.81,4938.64466666666666666666,40966
1670434226,1363.23,13367.91,116.28,376.50,4971.93666666666666666666,47227
1670434589,1496.71,13635.57,131.57,348.82,4977.25833333333333333333,47088
1670434951,1499.96,13549.60,140.22,356.89,4979.93966666666666666666,47882
1670435314,1497.82,13562.88,130.16,347.96,4977.82100000000000000000,47470
