time,cpu,mem,diskRand,diskSeq,fork,uplink
1670432043,1337.26,13786.50,176.01,397.93,4882.78620689655172413793,40960
1670428801,1326.26,13840.42,121.08,387.89,4824.47758620689655172413,41855
1670429161,1358.67,14285.37,121.59,383.46,4978.26900000000000000000,40864
1670429522,1302.35,13645.84,122.33,383.86,4755.82551724137931034482,39571
1670429883,1338.99,13704.46,120.90,383.27,4891.24931034482758620689,39626
1670430243,1299.80,13967.15,119.74,387.00,4770.73413793103448275862,40641
1670430604,1345.11,13880.09,120.02,385.04,4819.50344827586206896551,39628
1670430964,1335.74,14063.48,120.63,384.94,4770.65241379310344827586,40214
1670431326,1333.18,13699.65,115.94,379.08,4808.55413793103448275862,40421
1670431686,1339.65,13708.67,117.02,387.36,4752.80413793103448275862,42135
