time,cpu,mem,diskRand,diskSeq
1672497301,2864,6808.69,2.3728,111.67
1672498801,2866,6832.02,2.3869,106.86
1672500601,2864,6822.10,2.3838,91.251
1672502401,2867,6833.02,2.3843,108.26
1672504201,2864,6832.15,2.3659,114.8
1672506001,2863,6813.52,2.3659,113.82
1672507801,2862,6829.77,2.3872,86.089
1672509601,2866,6785.83,2.3845,90.827
1672511401,2861,6831.60,2.3736,111.16
1672513201,2865,6829.13,2.3866,85.7
1672515001,2863,6830.85,2.3009,117.24
1672516801,2867,6831.42,2.3586,116.99
1672518601,2867,6581.40,2.3838,91.549
1672520401,2865,6822.53,2.3844,87.44
1672522201,2861,6824.32,2.383,85.601
1672524001,2863,6807.87,2.3857,84.405
1672525801,2862,6821.76,2.3785,114.43
1672527601,2861,6832.42,2.3867,87.486
1672529401,2864,6817.92,2.3884,97.221
1672531201,2861,6815.04,2.3878,108.86
1672533001,2861,6815.57,2.3828,83.737
1672534801,2863,6831.94,2.3794,114.74
1672536601,2864,6824.59,2.3859,92.575
1672538401,2863,6828.92,2.3851,89.001
1672540201,2865,6818.97,2.3816,111.36
1672542001,2862,6834.36,2.3844,83.214
1672543801,2862,6832.96,2.3865,87.618
1672545601,2861,6825.86,2.3894,83.913
1672547401,2860,6804.38,2.3845,84.215
1672549201,2868,6822.45,2.3654,118.92
1672551001,2867,6836.25,2.3833,113.16
1672552801,2864,6831.90,2.3842,87.527
1672554601,2856,6716.46,2.3871,85.943
1672556401,2862,6836.51,2.3843,87.881
1672558201,2865,6826.64,2.3842,109.02
1672560001,2861,6832.88,2.3855,112.66
1672561801,2866,6833.56,2.3717,117.92
1672563601,2863,6834.74,2.3844,113.13
1672565401,2862,6834.26,2.3855,89.218
1672567201,2863,6820.91,2.3877,105.33
1672569001,2860,6805.11,2.3831,96.396
1672570801,2862,6830.19,2.3836,88.523
1672572601,2865,6835.49,2.3854,94.658
1672574401,2863,6825.67,2.3871,108.93
1672576201,2868,6820.17,2.3874,107.98
1672578001,2867,6833.82,2.3863,106
1672579801,2865,6827.75,2.3883,95.406
1672581601,2863,6830.96,2.3876,107.28
1672583401,2861,6835.15,2.3859,106.59
1672585201,2866,6813.72,2.384,108.26
1672587001,2862,6816.17,2.3866,93.391
1672588801,2866,6831.82,2.3878,93.223
1672590601,2864,6835.50,2.3853,105.18
1672592401,2864,6830.00,2.3746,115.82
1672594201,2862,6813.09,2.3877,97.843
1672596001,2864,6836.67,2.3908,85.799
1672597801,2864,6833.72,2.3862,89.168
1672599601,2862,6829.69,2.3886,84.267
1672601401,2863,6828.04,2.3885,108.99
1672603201,2860,6824.49,2.388,91.399
1672605001,2862,6806.37,2.3866,88.391
1672606801,2861,6823.04,2.3883,105.03
1672608601,2864,6830.02,2.385,88.329
1672610401,2860,6826.38,2.3823,86.049
1672612201,2863,6796.43,2.3822,86.905
1672614001,2861,6830.61,2.381,87.159
1672615801,2865,6812.47,2.3791,90.356
1672617601,2857,6807.94,2.3705,113.92
1672619401,2863,6822.94,2.3869,86.423
1672621201,2868,6834.53,2.3867,88.514
1672623001,2863,6832.03,2.3875,85.942
1672624801,2861,6834.89,2.3871,96.877
1672626601,2860,6833.43,2.3869,85.787
1672628401,2866,6815.63,2.3594,102.34
1672630201,2867,6829.89,2.3859,97.671
1672632001,2867,6837.81,2.3796,112.11
1672633801,2865,6829.92,1.3277,89.329
1672635601,2869,6836.89,1.8568,92.234
1672637401,2864,6821.44,2.3861,90.655
1672639201,2865,6831.90,2.3758,102.14
1672641001,2866,6828.71,2.3849,89.214
1672642801,2861,6828.15,2.3843,90.937
1672644601,2860,6824.12,2.3856,94.655
1672646401,2865,6819.89,2.3859,107.58
1672648201,2862,6832.15,2.3859,107.8
1672650001,2863,6830.15,2.389,85.53
1672651801,2867,6831.09,2.3864,108.4
1672653601,2865,6829.98,2.3847,109.24
1672655401,2866,6814.15,2.3832,91.204
1672657201,2862,6727.72,2.3861,91.105
1672659001,2868,6830.04,2.3873,97.424
1672660801,2865,6833.35,2.3848,95.147
1672662601,2866,6814.65,2.3854,88.671
1672664401,2864,6825.93,2.3877,87.599
1672666201,2862,6831.71,2.3872,110.92
1672668001,2865,6826.92,2.3839,112.76
1672669801,2863,6839.37,2.373,115.26
