time,cpu,mem,diskRand,diskSeq
1668457801,859.92,1818.03,31.73,42.68
1668459601,847.20,1818.76,20.72,38.90
1668461401,861.54,1817.75,33.56,44.90
1668463201,830.12,1817.49,19.82,42.64
1668465001,860.18,1820.06,21.39,38.21
1668466801,842.59,1813.18,26.24,35.53
1668468601,861.59,1821.25,14.94,26.69
1668470401,834.31,1816.85,20.77,33.55
1668472201,860.90,1803.23,24.58,38.02
1668474001,853.58,1816.74,25.04,29.76
1668475801,860.60,1815.12,20.58,33.38
1668477601,849.29,1819.61,12.63,25.93
1668479401,857.80,1819.72,17.82,22.37
1668481201,848.72,1819.52,17.17,27.17
1668483002,855.18,1816.19,22.23,45.88
1668484801,852.47,1817.19,26.86,39.43
1668486601,861.61,1818.92,23.79,43.79
1668488401,851.93,1820.31,20.90,27.51
1668490202,861.05,1818.21,25.14,40.43
1668492001,852.13,1820.36,24.69,36.12
1668493801,862.48,1819.56,34.54,45.26
1668495601,851.89,1818.13,14.41,42.45
1668497401,859.63,1818.67,17.46,39.70
1668499201,843.05,1817.56,30.12,28.44
1668501001,859.91,1818.51,23.78,28.90
1668502801,835.83,1813.78,20.24,28.34
1668504601,860.49,1817.23,18.96,44.09
1668506401,844.97,1819.62,21.68,43.15
1668508201,858.60,1819.80,26.34,44.60
1668510001,857.63,1821.64,24.93,1.56
1668511801,860.94,1821.63,15.10,1.56
1668513601,846.06,1820.89,11.10,1.56
1668515401,860.99,1816.87,11.12,1.56
1668517201,852.89,1824.40,11.14,1.56
1668519001,861.81,1821.52,10.96,1.56
1668520801,835.44,1820.94,11.14,1.56
1668522601,862.46,1816.89,11.12,1.56
1668524401,855.28,1819.39,11.13,1.56
1668526201,856.59,1816.51,11.04,1.56
1668528001,836.69,1818.71,11.20,1.56
1668529801,861.69,1815.37,11.09,1.56
1668531601,858.37,1820.79,10.96,1.56
1668533401,860.24,1816.48,11.08,1.56
1668535201,847.46,1817.29,11.13,1.56
1668537001,862.04,1817.91,11.14,1.56
1668538801,848.26,1816.63,11.08,1.56
1668540601,860.32,1819.07,11.16,1.56
1668542401,854.88,1816.46,11.09,1.56
1668544201,860.53,1817.97,10.94,1.56
1668546001,860.30,1818.36,11.06,1.56
1668547801,862.33,1819.55,11.04,1.56
1668549601,843.81,1819.54,11.12,1.56
1668551401,861.02,1819.51,10.57,1.56
1668553201,857.11,1817.19,11.04,1.56
1668555001,860.62,1820.74,11.09,1.56
1668556801,821.28,1817.53,11.21,1.56
1668558601,862.17,1817.61,10.95,1.56
1668560402,849.81,1819.61,11.16,1.56
1668562201,859.58,1818.49,11.06,1.56
1668564001,839.38,1816.09,11.12,1.56
1668565801,860.70,1817.08,11.06,1.56
1668567601,852.19,1815.23,11.17,1.56
1668569401,860.78,1817.13,11.02,1.56
1668571201,857.05,1817.41,11.14,1.56
1668573001,860.78,1819.03,11.00,1.56
1668574801,839.90,1817.28,9.73,1.56
1668576601,860.85,1815.85,12.52,1.56
1668578401,852.55,1822.46,10.21,1.56
1668580201,859.76,1819.02,11.83,1.56
1668582001,837.33,1818.72,10.93,1.56
1668583801,861.25,1815.14,11.12,1.56
1668585601,853.74,1820.02,11.14,1.56
1668587401,861.24,1812.79,11.10,1.56
1668589201,855.80,1818.67,11.19,1.56
1668591001,860.71,1814.61,10.98,1.56
1668592801,855.05,1820.08,11.31,1.56
1668594601,860.40,1818.59,10.96,1.56
1668596401,847.01,1821.63,11.06,1.56
1668598201,861.37,1814.72,11.13,1.56
1668600001,853.86,1818.21,11.10,1.56
1668601801,859.33,1819.30,11.07,1.56
1668603601,846.31,1824.15,11.16,1.56
1668605401,863.53,1822.27,11.03,1.56
1668607201,821.37,1820.66,11.17,1.56
1668609001,861.93,1823.63,11.02,1.56
1668610801,853.70,1819.54,10.77,1.56
1668612601,861.74,1818.47,11.01,1.56
1668614401,851.78,1817.54,11.05,1.56
1668616201,860.82,1815.16,10.59,1.56
1668618001,856.33,1815.28,11.09,1.56
1668619801,859.53,1816.46,11.10,1.56
1668621601,854.38,1818.66,11.06,1.56
1668623401,861.23,1818.29,11.08,1.56
1668625201,823.36,1819.30,11.16,1.56
1668627001,860.18,1819.24,11.21,1.56
1668628801,856.53,1818.79,10.91,1.56
1668630601,860.26,1817.59,11.08,1.56
1668632401,859.59,1818.13,11.08,1.56
1668634201,860.55,1817.46,11.08,1.56
1668636001,847.18,1817.86,11.08,1.56
1668637801,859.80,1816.09,11.13,1.56
1668639601,850.58,1820.75,11.15,1.56
1668641401,861.46,1820.15,11.00,1.56
1668643201,842.09,1818.00,11.14,1.56
1668645001,858.99,1817.83,8.95,1.56
1668646801,842.89,1816.09,11.51,1.56
1668648601,860.60,1820.14,12.85,1.56
1668650401,851.06,1817.02,11.07,1.56
1668652201,860.84,1816.40,11.11,1.56
1668654001,849.10,1815.72,10.92,1.56
1668655801,860.57,1817.50,11.13,1.56
1668657601,857.06,1815.15,11.25,1.56
1668659401,860.52,1817.72,11.05,1.56
1668661201,848.44,1817.76,11.02,1.56
1668663001,860.64,1820.16,11.07,1.56
1668664801,858.73,1817.96,11.20,1.56
1668666601,861.35,1817.75,4.09,1.56
1668668401,857.26,1817.13,11.10,1.56
1668670201,860.22,1819.26,11.14,1.56
