time,cpu,mem,diskRand,diskSeq,fork,uplink
1670435677,1494.71,12758.18,342.74,349.99,5825.30742857142857142857,30442
1670436038,1499.31,12848.49,364.67,364.70,5811.05142857142857142857,30690
1670436398,1495.33,13004.26,355.69,376.18,5811.22285714285714285714,30714
1670436759,1492.31,12958.93,364.47,362.71,5823.33628571428571428571,30738
1670437120,1499.71,12972.58,369.68,384.96,5815.89571428571428571428,30734
1670437481,1494.86,13018.86,361.80,373.07,5861.14657142857142857142,30692
1670437842,1495.71,12950.92,358.50,376.93,5801.53114285714285714285,30597
1670438203,1493.33,12949.28,370.01,376.55,5891.55833333333333333333,30615
1670438565,1496.11,13024.79,360.90,362.00,5795.25400000000000000000,30755
1670438926,1499.27,13001.79,348.94,359.48,5800.94400000000000000000,30462
