time,cpu,mem,diskRand,diskSeq,fork,uplink
1670439287,475.94,729.45,51.67,60.24,523.62750000000000000000,430
1670439665,481.79,956.71,52.38,63.17,529.48000000000000000000,427
1670440043,487.99,870.26,59.25,56.78,497.87000000000000000000,441
1670440405,495.41,893.00,43.77,52.48,525.24000000000000000000,445
1670440783,489.85,599.78,51.25,57.35,528.32000000000000000000,439
1670441160,497.31,755.72,50.78,56.96,524.87500000000000000000,433
1670441538,484.27,782.74,59.08,58.55,523.02000000000000000000,436
1670441917,494.27,999.66,50.75,62.53,520.37000000000000000000,445
1670442295,489.54,743.26,46.18,52.52,517.40000000000000000000,429
1670442674,478.34,976.23,59.06,56.61,519.05500000000000000000,437
